Name,	Ratio,	Latitude,	Longitude
City of London,	17.51,	51.5073219,	-0.1276474
Barking and Dagenham,	10.55,	51.5541171,	0.150504343
Barnet,	15.19	51,.65309,	-0.2002261
Bexley,	10.40,	51.4416793,	0.150488
Brent,	15.93,	51.4416354,	0.2345194
Ealing,	15.03,	51.5126553,	-0.3051952
Haringey,	15.58,	51.58792985,	-0.105410106
Islington,	17.67,	51.5384287,	-0.0999051
Kensington and Chelsea,	26.40,	51.4989948,	-0.1991229
Lambeth,	15.83,	51.5013012,	-0.117287
Lewisham,	12.74,	51.4624325,	-0.0101331
Merton,	14.13,	51.41080285,	-0.188098506
Newham,	13.33,	51.52999955,	0.02931796
Redbridge,	11.87,	51.5763203,	0.0454097
Southwark,	15.62,	51.502922,2	-0.103458
Sutton,	11.24,	51.3575114,	-0.173640123
Tower Hamlets,	14.56,	51.1288633,	1.2986686
Waltham Forest,	14.35,	51.1981586,	1.0165175
Wandsworth,	15.71,	51.4570271,	-0.1932607
Westminster,	23.07,	51.5013562,	-0.1249302
